,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
56,서울특별시,중랑구,11260,2017,345,2907,346,2809,472,219,1,0,5,0,82,0,0,173,0,796,9.2805,102.9078,11.6602,156.1804,9.676,15.2424,0.0325,0.0,0.022508333,0.0,0.579466667,0.0,0.0,1.35286,0.0,33.9096,340.844235
57,서울특별시,성북구,11290,2017,1632,2742,821,1565,123,65,38,4,97,0,0,0,0,501,16,975,43.9008,97.0668,27.6677,87.014,2.5215,4.524,1.235,0.4076,0.436661667,0.0,0.0,0.0,0.0,3.91782,0.223173333,41.535,310.450055
58,서울특별시,강북구,11305,2017,492,3419,277,946,319,0,119,5,1049,95,0,0,0,527,0,422,13.2348,121.0326,9.3349,52.5976,6.5395,0.0,3.8675,0.5095,4.722248333,0.996233333,0.0,0.0,0.0,4.12114,0.0,17.9772,234.9332217
59,서울특별시,도봉구,11320,2017,2003,4992,787,432,6,61,32,15,15,0,0,0,0,47,0,1063,53.8807,176.7168,26.5219,24.0192,0.123,4.2456,1.04,1.5285,0.067525,0.0,0.0,0.0,0.0,0.36754,0.0,45.2838,333.794565
60,서울특별시,노원구,11350,2017,1632,6511,1133,3396,0,278,41,0,32,0,0,0,0,132,0,1303,43.9008,230.4894,38.1821,188.8176,0.0,19.3488,1.3325,0.0,0.144053333,0.0,0.0,0.0,0.0,1.03224,0.0,55.5078,578.7552933
61,서울특별시,은평구,11380,2017,2105,4189,954,1844,0,17,294,0,4,0,16,0,0,560,0,1184,56.6245,148.2906,32.1498,102.5264,0.0,1.1832,9.555,0.0,0.018006667,0.0,0.113066667,0.0,0.0,4.3792,0.0,50.4384,405.2781733
62,서울특별시,서대문구,11410,2017,668,3499,728,1963,8,25,84,10,0,0,5,0,0,461,126,1972,17.9692,123.8646,24.5336,109.1428,0.164,1.74,2.73,1.019,0.0,0.0,0.035333333,0.0,0.0,3.60502,1.75749,84.0072,370.5682433
63,서울특별시,마포구,11440,2017,933,3348,3040,3627,0,474,983,0,124,0,0,0,0,1220,0,631,25.0977,118.5192,102.448,201.6612,0.0,32.9904,31.9475,0.0,0.558206667,0.0,0.0,0.0,0.0,9.5404,0.0,26.8806,549.6432067
64,서울특별시,양천구,11470,2017,955,5628,1034,4004,0,74,177,0,0,0,4,0,0,766,0,1280,25.6895,199.2312,34.8458,222.6224,0.0,5.1504,5.7525,0.0,0.0,0.0,0.028266667,0.0,0.0,5.99012,0.0,54.528,553.8381867
65,서울특별시,강서구,11500,2017,2112,3978,919,720,81,1650,213,0,282,0,0,0,0,493,57,1057,56.8128,140.8212,30.9703,40.032,1.6605,114.84,6.9225,0.0,1.26947,0.0,0.0,0.0,0.0,3.85526,0.795055,45.0282,443.007285
