BRCT_NM,SGNG_NM,SGNG_CD,STNDD_YR,CHRR_QNTT,GKGO_QNTT,ZKVA_QNTT,AMSC_QNTT,MAPLF_TRE_QNTT,MTSQ_QNTT,STJP_QNTT,TLTR_QNTT,PINE_QNTT,KRPN_QNTT,AMSY_QNTT,HNKCP_TRE_QNTT,ACTSM_QNTT,MGLOK_QNTT,OAK_QNTT,ETC_QNTT,CHRR_GRGS_ABQNT,GKGO_GRGS_ABQNT,ZKVA_GRGS_ABQNT,AMSC_GRGS_ABQNT,MAPLF_TRE_GRGS_ABQNT,MTSQ_GRGS_ABQNT,STJP_GRGS_ABQNT,TLTR_GRGS_ABQNT,PINE_GRGS_ABQNT,KRPN_GRGS_ABQNT,CONIFER_GRGS_ABQNT,HNKCP_TRE_GRGS_ABQNT,ACTSM_GRGS_ABQNT,MGLOK_GRGS_ABQNT,OAK_GRGS_ABQNT,ETC_GRGS_ABQNT,SUM_GRGS_ABQNT
강원도,강릉시,42150,2017,5798,4428,1166,416,810,490,0,447,0,0,0,0,0,3401,0,6756,155.9662,156.7512,39.2942,23.1296,16.605,34.104,0,45.5493,0,0,0,0,0,26.59582,0,287.8056,785.80092
강원도,동해시,42170,2017,4461,3983,207,1439,124,0,0,0,0,0,0,0,0,283,0,3594,120.0009,140.9982,6.9759,80.0084,2.542,0,0,0,0,0,0,0,0,2.21306,0,153.1044,505.84286
강원도,태백시,42190,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,속초시,42210,2017,3202,3381,44,289,265,0,80,0,0,0,187,0,0,1395,0,3178,86.1338,119.6874,1.4828,16.0684,5.4325,0,2.6,0,0,0,1.321466667,0,0,10.9089,0,135.3828,379.0180667
강원도,삼척시,42230,2017,4328,2282,277,0,523,260,0,0,517,0,0,0,0,1699,0,3372,116.4232,80.7828,9.3349,0,10.7215,18.096,0,0,2.327361667,0,0,0,0,13.28618,0,143.6472,394.6191417
강원도,홍천군,42720,2017,7680,4110,58,108,652,55,0,0,33,107,0,0,0,1639,0,4521,320.5583,145.494,1.9546,6.0048,23.6425,3.828,0,0,0.148555,1.122073333,0,0,0,12.81698,0,192.5946,708.1644083
강원도,횡성군,42730,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,영월군,42750,2017,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639236667,0,0,0,0,0,0,0,0.639236667
강원도,평창군,42760,2017,3255,1404,49,0,128,57,0,0,0,0,0,0,0,0,0,655,87.5595,49.7016,1.6513,0,2.624,3.9672,0,0,0,0,0,0,0,0,0,27.903,173.4066
강원도,정선군,42770,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1946,22.1946
강원도,철원군,42780,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76334,0,0,5.76334
강원도,화천군,42790,2017,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.124
강원도,양구군,42800,2017,2039,2426,133,0,792,424,0,0,0,0,0,0,0,784,0,4343,54.8491,85.8804,4.4821,0,16.236,29.5104,0,0,0,0,0,0,0,6.13088,0,185.0118,382.10068
