,구,월,시,환경지수
6275,은평구,10,11,31.940380171124925
6276,은평구,10,12,31.332779519165772
6277,은평구,10,13,32.30322940536331
6278,은평구,10,14,33.88142677177712
6279,은평구,10,15,31.993401875279993
6280,은평구,10,16,31.985963365730314
6281,은평구,10,17,31.792454065167966
6282,은평구,10,18,31.83596671149404
6283,은평구,10,19,31.296235687230208
6284,은평구,10,20,29.324615234755502
6285,은평구,10,21,28.570783892248716
6286,은평구,10,22,27.197911917269636
6287,은평구,10,23,26.884763958987094
6288,은평구,11,0,37.80717949486118
6289,은평구,11,1,36.66476117442165
6290,은평구,11,2,35.33723062817829
6291,은평구,11,3,34.7769377110501
6292,은평구,11,4,34.86153158725916
6293,은평구,11,5,35.06936616393869
6294,은평구,11,6,36.313494707822976
6295,은평구,11,7,37.11230227899713
6296,은평구,11,8,41.06062112051705
6297,은평구,11,9,42.585858255430416
6298,은평구,11,10,41.82880796848583
6299,은평구,11,11,42.75457294567058
6300,은평구,11,12,42.57585964440512
6301,은평구,11,13,43.49467579731337
6302,은평구,11,14,43.92524523273132
6303,은평구,11,15,45.22671159397704
6304,은평구,11,16,46.34669932095601
6305,은평구,11,17,46.46549459741704
6306,은평구,11,18,47.30060548255471
6307,은평구,11,19,46.663909557760704
6308,은평구,11,20,44.06152363896973
6309,은평구,11,21,43.23828705817738
6310,은평구,11,22,41.028231876921694
6311,은평구,11,23,38.99396461469255
6312,은평구,12,0,33.255997046461026
6313,은평구,12,1,31.713388245148682
6314,은평구,12,2,31.168803183126716
6315,은평구,12,3,31.362328788372345
6316,은평구,12,4,31.282367058229127
6317,은평구,12,5,31.511845442007388
6318,은평구,12,6,32.08915818929081
6319,은평구,12,7,33.62611103355205
6320,은평구,12,8,36.65007294838365
6321,은평구,12,9,38.753868477367256
6322,은평구,12,10,39.31857158354133
6323,은평구,12,11,39.3372873480001
6324,은평구,12,12,40.56889638459181
6325,은평구,12,13,41.257598798690985
6326,은평구,12,14,42.59390624404963
6327,은평구,12,15,41.16203636485067
6328,은평구,12,16,39.95661361696903
6329,은평구,12,17,38.861449350187655
6330,은평구,12,18,39.94763902413401
6331,은평구,12,19,38.44505411531351
6332,은평구,12,20,38.65424275747145
6333,은평구,12,21,36.9890248956591
6334,은평구,12,22,36.783735584857396
6335,은평구,12,23,35.182778191943925
6336,종로구,1,0,39.00534155364987
6337,종로구,1,1,37.5675229344384
6338,종로구,1,2,38.44709616895551
6339,종로구,1,3,36.675451950617656
6340,종로구,1,4,36.81175242277503
6341,종로구,1,5,35.92540056753218
6342,종로구,1,6,37.75592868860942
6343,종로구,1,7,38.302057342753464
6344,종로구,1,8,39.545560593046595
6345,종로구,1,9,39.20273833633007
6346,종로구,1,10,40.54209157927034
6347,종로구,1,11,40.07343906921407
6348,종로구,1,12,39.88245895179541
6349,종로구,1,13,38.263464977788395
6350,종로구,1,14,39.23793902300891
6351,종로구,1,15,38.951911154705094
6352,종로구,1,16,39.251687522380486
6353,종로구,1,17,38.898566491161525
6354,종로구,1,18,38.95757150026248
6355,종로구,1,19,38.77005387548319
6356,종로구,1,20,39.85620718346083
6357,종로구,1,21,39.35696976417914
6358,종로구,1,22,40.14097060771747
6359,종로구,1,23,39.45018402048251
6360,종로구,2,0,46.39633504378112
6361,종로구,2,1,45.32493228405272
6362,종로구,2,2,46.79581383247385
6363,종로구,2,3,45.11139673751235
6364,종로구,2,4,45.595745365881896
6365,종로구,2,5,44.418582114300435
6366,종로구,2,6,46.25029563765952
6367,종로구,2,7,45.959535586130606
6368,종로구,2,8,46.96804360477177
6369,종로구,2,9,47.06295542341497
6370,종로구,2,10,48.28484824979601
6371,종로구,2,11,47.91148810066513
6372,종로구,2,12,48.33146876443629
6373,종로구,2,13,44.10359304633075
6374,종로구,2,14,45.96060599743702
6375,종로구,2,15,45.11513828249077
6376,종로구,2,16,45.36340781350232
6377,종로구,2,17,45.93973273861937
6378,종로구,2,18,47.81156539870628
6379,종로구,2,19,47.42613740206696
6380,종로구,2,20,46.55619505207198
6381,종로구,2,21,45.78981148791143
6382,종로구,2,22,46.45572867170127
6383,종로구,2,23,45.05208974095485
6384,종로구,3,0,50.49328059887604
6385,종로구,3,1,48.857667420963395
6386,종로구,3,2,51.06151502771764
6387,종로구,3,3,50.96951194710848
6388,종로구,3,4,52.16956012718842
6389,종로구,3,5,50.21291271897524
6390,종로구,3,6,51.47934100360279
6391,종로구,3,7,51.57785990668025
6392,종로구,3,8,54.47953020208815
6393,종로구,3,9,55.3040938842161
6394,종로구,3,10,56.47035436901492
6395,종로구,3,11,54.12279314380622
6396,종로구,3,12,55.06245351554988
6397,종로구,3,13,51.87749899605981
6398,종로구,3,14,50.118402567737895
6399,종로구,3,15,48.12243334184179
6400,종로구,3,16,49.23727297896526
6401,종로구,3,17,48.85898667322185
6402,종로구,3,18,50.977175371172216
6403,종로구,3,19,50.6764272763689
6404,종로구,3,20,50.7228328849065
6405,종로구,3,21,49.26583865792008
6406,종로구,3,22,50.365061048513525
