,구,오염물질,월,평균값
655,도봉구,CO,08,0.39485094850948504
656,도봉구,CO,09,0.4172876304023845
657,도봉구,CO,10,0.46062992125984253
658,도봉구,CO,11,0.5951334379905809
659,도봉구,CO,12,0.670253164556962
660,도봉구,NO2,01,0.02452021563342318
661,도봉구,NO2,02,0.023529850746268656
662,도봉구,NO2,03,0.02272506738544474
663,도봉구,NO2,04,0.01511142061281337
664,도봉구,NO2,05,0.012327493261455526
665,도봉구,NO2,06,0.01111699164345404
666,도봉구,NO2,07,0.008934871099050204
667,도봉구,NO2,08,0.00965
668,도봉구,NO2,09,0.008832857142857142
669,도봉구,NO2,10,0.01611201079622132
670,도봉구,NO2,11,0.024668523676880223
671,도봉구,NO2,12,0.025466936572199728
672,도봉구,O3,01,0.018382749326145552
673,도봉구,O3,02,0.02590149253731343
674,도봉구,O3,03,0.030840970350404312
675,도봉구,O3,04,0.0405041782729805
676,도봉구,O3,05,0.03817385444743935
677,도봉구,O3,06,0.043284122562674096
678,도봉구,O3,07,0.03699864314789688
679,도봉구,O3,08,0.03106351351351351
680,도봉구,O3,09,0.0285768156424581
681,도봉구,O3,10,0.022058029689608634
682,도봉구,O3,11,0.02034401114206128
683,도봉구,O3,12,0.015933873144399462
684,도봉구,PM10,01,0.03313722627737226
685,도봉구,PM10,02,0.04117384615384616
686,도봉구,PM10,03,0.06072637517630466
687,도봉구,PM10,04,0.04112236286919831
688,도봉구,PM10,05,0.05886504723346828
689,도봉구,PM10,06,0.031935754189944134
690,도봉구,PM10,07,0.02348700410396717
691,도봉구,PM10,08,0.021990527740189447
692,도봉구,PM10,09,0.01588826815642458
693,도봉구,PM10,10,0.026908232118758434
694,도봉구,PM10,11,0.04641922005571031
695,도봉구,PM10,12,0.039982408660351826
696,도봉구,PM2.5,01,0.020483176312247647
697,도봉구,PM2.5,02,0.027772113943028486
698,도봉구,PM2.5,03,0.03061299052774019
699,도봉구,PM2.5,04,0.017489539748953977
700,도봉구,PM2.5,05,0.02011590296495957
701,도봉구,PM2.5,06,0.015335664335664335
702,도봉구,PM2.5,07,0.010585266030013644
703,도봉구,PM2.5,08,0.009175033921302578
704,도봉구,PM2.5,09,0.004930167597765363
705,도봉구,PM2.5,10,0.012330188679245284
706,도봉구,PM2.5,11,0.027699164345403902
707,도봉구,PM2.5,12,0.023487144790257104
708,도봉구,SO2,01,0.0022183288409703505
709,도봉구,SO2,02,0.0028611940298507465
710,도봉구,SO2,03,0.0031078167115902965
711,도봉구,SO2,04,0.003210306406685237
712,도봉구,SO2,05,0.0026630727762803233
713,도봉구,SO2,06,0.0031350974930362116
714,도봉구,SO2,07,0.0029755766621438265
715,도봉구,SO2,08,0.0026972972972972974
716,도봉구,SO2,09,0.002011173184357542
717,도봉구,SO2,10,0.0026021505376344085
